N,P,K,temperature,humidity,ph,rainfall,label
104.47,15.55,28.56,21.45,69.44,6.32,120.18,coffee
17.82,141.59,198.75,35.13,83.95,5.64,79.55,grapes
19.55,49.78,21.24,29.01,86.21,6.74,53.05,mungbean
112.85,31.52,31.5,26.77,68.34,6.88,147.39,coffee
27.87,74.3,20.46,15.86,23.74,5.38,122.52,kidneybeans
103.32,37.95,24.01,25.08,60.52,5.74,70.46,cotton
36.49,143.23,196.38,24.1,90.47,6.07,99.13,apple
83.12,96.08,47.96,31.86,82.84,6.2,108.18,banana
50.92,54.47,12.01,25.92,61.99,6.88,67.72,blackgram
83.18,11.69,46.97,24.89,81.05,6.96,56.09,watermelon
37.27,23.53,32.28,29.27,96.92,5.95,201.9,coconut
16.34,60.52,12.29,24.92,66.02,6.14,52.76,lentil
10.14,15.35,15.3,34.7,91.16,6.89,109.97,orange
51.56,49.99,47.64,28.79,90.85,6.59,236.76,papaya
26.46,65.07,22.52,27.09,43.82,5.65,133.89,pigeonpeas
33.88,19.42,9.02,31.68,88.33,6.29,118.91,orange
97.45,35.73,45.68,25.24,81.02,5.23,187.73,rice
90.52,16.5,49.49,27.98,89.63,6.78,22.57,muskmelon
35.76,70.19,18.02,38.21,66.81,6.67,103.9,pigeonpeas
116.93,20.83,53.29,29.72,91.73,6.18,18.16,muskmelon
7.83,15.77,29.95,28.54,98.77,5.69,182.24,coconut
65.34,33.4,46.44,25.03,84.48,7.03,165.01,jute
78.65,82.1,48.1,28.98,84.92,5.94,112.93,banana
56.15,80.55,14.36,29.65,66.55,6.47,61.54,blackgram
49.41,61.15,51.81,28.86,91.14,7.06,51.19,papaya
104.43,91.62,50.17,26.72,80.9,6.26,119.28,banana
109.32,60.17,18.17,24.98,69.43,6.61,91.51,cotton
116.21,19.85,48.96,27.67,85.21,6.23,53.23,watermelon
10.09,15.18,13.85,22.96,89.32,7.53,104.67,orange
123.06,15.8,30.94,27.16,66.36,7.09,178.56,coffee
26.03,58.18,79.12,20.21,13.5,6.7,64.6,chickpea
59.67,35.29,38.63,27.15,80.66,6.45,274.67,rice
41.04,42.03,15.57,28.14,54.29,7.24,36.81,mothbeans
16.54,17.99,7.39,28.93,92.71,6.37,109.72,orange
23.82,24.78,32.25,31.29,48.62,5.7,89.75,mango
90.3,26.35,27.67,24.71,69.35,6.14,186.84,coffee
15.6,39.12,15.63,26.28,58.84,5.53,31.96,mothbeans
39.59,61.09,22.67,34.14,66.09,7.4,68.2,blackgram
35.87,11.94,34.26,22.98,90.55,6.56,99.38,pomegranate
64.54,49.65,19.13,23.56,56.36,5.98,109.92,maize
22.6,50.77,17.65,28.84,59.41,5.71,43.27,mothbeans
129.03,59.1,17.44,24.17,75.85,7.34,67.06,cotton
37.66,67.82,52.45,39.66,91.51,6.63,157.0,papaya
35.03,65.08,21.11,32.86,49.94,4.66,136.57,pigeonpeas
28.33,45.55,24.18,28.29,44.8,6.21,58.25,mothbeans
42.59,60.85,20.42,22.97,20.6,5.67,101.53,kidneybeans
90.34,21.01,25.86,24.85,63.82,6.88,144.86,coffee
36.98,76.9,16.84,24.37,60.1,7.5,75.54,blackgram
22.17,63.41,20.16,21.07,67.34,6.84,56.5,lentil
32.68,10.37,31.39,26.01,95.0,5.86,208.58,coconut
90.42,56.88,35.85,21.54,83.02,6.73,184.04,rice
23.28,22.38,10.1,23.19,91.21,7.88,99.56,orange
117.94,18.11,48.45,26.51,92.98,6.47,26.48,muskmelon
83.65,12.88,54.99,25.75,85.96,6.67,62.02,watermelon
22.86,76.49,19.16,18.54,18.12,5.74,65.53,kidneybeans
96.81,18.01,51.6,27.59,80.8,7.01,60.46,watermelon
113.1,90.03,52.9,26.07,85.31,6.69,114.14,banana
18.86,58.05,17.04,30.8,39.78,5.4,189.54,pigeonpeas
26.33,44.28,22.02,24.68,64.5,4.06,70.37,mothbeans
122.04,81.62,51.93,29.7,82.01,6.06,111.75,banana
67.75,39.9,42.79,23.66,84.26,6.9,166.95,jute
131.46,39.43,19.08,23.01,62.57,6.45,84.95,cotton
30.94,31.49,43.77,19.43,92.04,6.24,113.71,pomegranate
26.62,58.76,23.98,26.82,52.76,7.05,177.38,pigeonpeas
51.41,77.9,82.44,19.87,18.48,8.0,80.19,chickpea
98.73,56.96,17.13,24.47,68.52,5.87,93.89,maize
22.46,15.07,32.37,27.31,96.37,6.06,135.31,coconut
32.5,28.75,42.57,20.82,86.91,6.09,115.14,pomegranate
87.4,53.09,36.49,25.1,80.02,5.91,197.88,rice
10.27,69.81,19.51,22.24,66.69,4.98,106.69,pigeonpeas
35.39,131.44,194.18,34.92,81.41,5.69,70.24,grapes
39.39,75.45,17.88,31.63,58.71,7.08,72.3,blackgram
28.03,21.74,32.29,29.19,99.93,5.82,193.95,coconut
38.69,64.18,77.99,18.76,16.3,6.77,96.0,chickpea
47.3,58.14,20.41,29.01,68.54,7.19,59.92,blackgram
27.04,18.64,24.58,28.34,96.15,6.33,147.14,coconut
86.3,41.55,21.06,21.61,66.47,6.83,79.38,maize
101.19,82.77,49.51,29.11,77.26,6.4,109.6,banana
8.92,58.03,18.8,31.97,50.51,5.47,25.54,mothbeans
116.24,80.32,47.88,25.36,79.47,5.76,110.19,banana
11.83,57.12,20.78,20.57,18.72,5.8,63.19,kidneybeans
30.37,12.37,42.29,22.34,94.66,6.88,100.08,pomegranate
28.19,65.35,82.3,19.66,13.14,8.07,94.32,chickpea
27.93,23.33,28.87,28.55,95.52,6.2,192.05,coconut
13.35,12.45,14.2,17.99,93.68,6.42,112.86,orange
8.43,59.24,17.02,36.84,63.78,6.01,176.67,pigeonpeas
95.27,85.98,52.05,26.94,83.45,6.1,117.42,banana
101.44,83.63,53.82,27.19,83.96,6.27,84.65,banana
30.98,122.38,207.17,20.32,92.51,5.95,106.53,apple
36.32,77.16,17.66,15.32,20.91,5.74,97.91,kidneybeans
117.12,9.08,47.14,27.18,91.09,6.96,24.83,muskmelon
32.06,47.47,11.97,30.15,88.11,6.46,50.13,mungbean
25.86,52.4,16.55,23.32,57.22,6.14,46.23,mothbeans
15.51,8.88,34.88,25.32,95.73,5.61,166.02,coconut
94.24,58.23,22.98,23.56,55.17,5.93,94.12,maize
36.02,130.49,195.88,23.32,91.01,5.59,103.19,apple
23.07,14.26,36.87,26.14,96.69,6.43,165.16,coconut
18.37,65.91,23.84,16.17,21.85,5.85,139.28,kidneybeans
29.58,50.62,23.95,25.94,45.76,5.15,69.57,mothbeans
18.02,51.75,18.96,28.12,81.37,5.9,43.16,mungbean
34.74,69.34,19.4,28.63,60.46,6.67,28.6,lentil
101.67,28.09,48.65,27.17,83.31,6.69,39.8,watermelon
22.01,51.46,19.94,27.3,87.26,6.58,30.32,mungbean
35.47,63.69,22.56,33.51,64.93,5.05,154.2,pigeonpeas
22.36,68.77,16.85,36.52,59.87,6.75,137.2,pigeonpeas
12.24,68.94,22.98,23.14,40.8,4.84,137.01,pigeonpeas
14.54,69.04,13.04,23.9,16.77,5.49,87.51,kidneybeans
94.28,47.3,24.73,22.07,68.13,6.75,106.34,maize
74.15,39.55,36.75,26.35,86.36,7.08,156.36,jute
49.74,80.41,82.58,16.32,16.57,8.14,72.69,chickpea
19.28,130.25,199.28,23.61,91.77,6.21,117.15,apple
13.57,14.08,7.59,27.69,91.64,6.26,108.95,orange
120.26,47.75,26.22,25.44,70.0,7.17,67.46,cotton
74.1,47.48,45.64,27.34,81.7,5.25,270.59,rice
22.4,16.07,29.91,28.12,95.21,5.93,166.36,coconut
20.64,134.51,197.68,19.0,81.41,6.51,75.19,grapes
39.03,67.1,23.17,20.2,65.68,7.74,41.61,lentil
79.3,21.81,43.79,24.72,86.6,6.88,61.69,watermelon
22.91,142.56,198.19,16.32,85.69,6.51,70.06,grapes
14.41,130.85,208.29,15.01,82.68,6.12,78.11,grapes
43.77,76.16,19.05,32.2,67.24,7.41,62.13,blackgram
32.82,23.99,42.29,24.59,86.77,5.99,109.12,pomegranate
19.25,69.87,84.47,20.32,18.68,6.71,74.75,chickpea
16.03,25.4,23.51,30.21,96.11,5.97,172.82,coconut
96.25,32.0,16.63,26.55,62.74,6.24,89.96,maize
36.05,60.12,23.72,29.89,63.95,6.16,45.29,lentil
18.45,142.21,200.26,8.79,84.26,5.5,69.03,grapes
108.44,18.85,56.96,23.89,83.51,6.35,59.37,watermelon
82.59,48.59,40.63,24.42,83.93,6.33,163.01,jute
96.74,30.55,25.43,26.21,68.31,6.1,133.86,coffee
98.87,15.65,32.32,24.66,52.66,6.52,169.98,coffee
25.21,63.97,21.02,24.62,23.64,5.47,132.76,kidneybeans
65.19,40.36,34.38,25.26,73.21,6.99,171.19,jute
15.52,47.65,13.62,31.61,47.38,4.11,55.09,mothbeans
21.2,64.78,16.51,21.09,20.98,5.86,72.16,kidneybeans
102.46,95.14,49.22,27.28,80.52,6.64,103.82,banana
29.8,59.41,24.57,24.99,18.85,5.54,62.06,kidneybeans
17.43,27.05,27.78,29.27,93.17,6.33,178.97,coconut
61.33,62.33,43.95,34.96,89.57,6.74,70.87,papaya
33.51,58.7,47.06,34.68,89.24,6.74,214.76,papaya
44.41,56.0,23.19,30.13,83.15,7.08,41.92,mungbean
15.01,19.77,29.67,36.15,49.86,6.67,94.47,mango
20.35,14.77,37.66,18.31,93.4,6.1,101.03,pomegranate
107.79,12.01,52.3,27.5,80.62,6.14,46.41,watermelon
11.39,72.5,18.38,22.86,21.43,5.63,81.53,kidneybeans
89.3,40.85,16.66,20.23,68.36,6.97,76.7,maize
33.44,135.0,204.47,23.6,91.35,6.12,100.88,apple
33.64,79.52,23.41,24.7,62.59,7.46,53.45,blackgram
56.62,77.17,86.78,18.62,18.96,6.93,76.71,chickpea
28.09,134.78,196.11,24.75,83.22,5.92,72.15,grapes
30.32,141.7,200.68,23.03,82.08,5.72,67.17,grapes
105.54,84.32,50.47,26.53,75.71,5.84,113.28,banana
111.99,52.44,22.12,26.32,66.99,6.38,94.43,cotton
67.69,46.69,39.98,21.56,85.32,6.93,265.87,rice
28.25,27.74,39.19,23.77,88.08,5.55,109.68,pomegranate
16.06,53.34,15.65,30.1,78.9,6.66,56.51,mungbean
84.7,78.29,54.91,27.82,80.25,6.19,117.67,banana
87.77,60.56,38.33,24.68,71.95,7.5,151.0,jute
22.99,34.24,19.73,29.06,90.93,6.79,60.44,mungbean
71.02,40.24,21.36,23.45,63.51,6.22,106.78,maize
48.75,63.21,81.23,18.15,15.44,7.22,87.29,chickpea
40.88,55.11,81.56,21.52,20.13,5.92,93.72,chickpea
28.36,73.42,79.1,18.05,16.68,6.42,73.75,chickpea
41.94,127.52,199.04,20.47,94.32,5.72,123.78,apple
77.7,57.62,44.58,24.91,82.1,6.99,191.57,rice
25.39,59.61,20.43,18.9,24.6,5.5,127.46,kidneybeans
40.96,51.06,52.5,24.42,92.95,6.34,219.83,papaya
88.95,20.19,26.49,24.22,58.5,6.8,120.23,coffee
33.93,60.24,18.02,31.4,62.71,7.26,68.74,blackgram
42.4,77.46,24.57,18.9,20.35,5.57,80.2,kidneybeans
9.96,26.48,28.05,29.98,45.03,6.66,91.37,mango
12.62,19.73,38.33,34.03,51.88,6.8,95.83,mango
36.27,25.6,20.47,25.96,96.44,6.37,200.3,coconut
36.64,52.64,49.73,30.92,92.47,6.72,104.9,papaya
21.85,126.6,198.91,23.87,94.68,5.84,116.84,apple
19.96,64.43,80.84,19.79,13.06,8.55,95.24,chickpea
35.6,28.14,39.46,20.3,91.37,5.97,110.99,pomegranate
21.16,74.15,82.22,20.28,21.74,7.33,80.49,chickpea
91.55,18.15,56.3,27.81,94.38,6.55,23.08,muskmelon
37.96,142.04,202.39,21.41,94.9,5.64,110.02,apple
103.95,26.69,49.91,27.76,92.44,6.04,20.35,muskmelon
99.18,31.84,46.58,28.67,95.18,6.31,30.88,muskmelon
12.86,25.81,27.95,31.6,52.19,5.77,96.52,mango
28.01,31.28,28.35,31.66,51.89,6.64,95.8,mango
129.76,48.82,20.76,22.53,73.7,6.51,98.25,cotton
27.82,22.62,31.24,27.22,94.21,5.78,157.13,coconut
17.64,14.61,44.25,16.67,88.66,6.69,97.49,pomegranate
63.88,59.21,35.21,21.67,83.86,5.5,221.98,rice
87.24,21.41,50.47,27.53,96.06,6.72,32.9,muskmelon
78.91,22.07,26.26,27.31,71.05,6.09,122.87,coffee
54.44,60.16,52.01,31.65,93.9,7.04,78.08,papaya
21.34,41.71,18.71,26.16,52.35,5.52,76.83,mothbeans
96.92,53.43,20.93,24.52,67.16,6.09,95.11,maize
34.89,32.31,32.06,31.82,44.83,6.28,92.42,mango
88.37,17.28,49.59,27.38,92.26,6.23,25.59,muskmelon
20.17,70.59,15.22,34.39,42.97,6.35,149.28,pigeonpeas
26.93,49.43,23.97,28.13,84.59,7.13,40.54,mungbean
116.93,17.8,27.31,25.3,70.1,6.52,127.58,coffee
33.93,133.67,191.38,21.21,81.03,6.48,66.62,grapes
15.82,15.37,29.41,26.78,97.15,6.34,187.65,coconut
144.73,46.5,14.93,21.57,65.85,5.98,95.66,cotton
37.82,58.21,19.31,34.0,60.52,5.86,110.27,pigeonpeas
81.52,58.26,38.39,25.18,84.74,5.7,283.3,rice
27.51,143.37,203.73,23.68,95.58,6.09,106.48,apple
33.42,17.81,42.93,17.84,86.61,6.55,93.81,pomegranate
114.72,31.74,27.28,25.85,63.53,6.97,150.78,coffee
49.68,55.64,82.74,18.67,15.77,6.65,88.82,chickpea
136.79,44.49,18.17,25.18,73.3,6.37,94.42,cotton
91.34,59.2,40.14,25.21,86.58,7.1,174.65,jute
16.52,25.92,25.26,31.04,52.38,6.79,105.17,mango
103.99,90.34,44.02,27.83,85.53,5.57,84.52,banana
39.4,66.57,42.58,26.8,95.2,6.7,160.37,papaya
22.08,122.13,200.21,20.32,92.22,6.09,111.35,apple
37.56,57.83,82.08,19.26,17.49,7.07,72.77,chickpea
86.31,45.98,39.23,27.04,82.44,7.59,292.19,rice
32.0,56.92,19.32,20.9,46.39,6.2,160.26,pigeonpeas
29.88,56.5,14.9,31.8,56.19,5.66,60.41,mothbeans
37.34,40.67,25.9,28.8,88.58,6.6,46.48,mungbean
93.04,55.4,38.21,24.61,73.32,6.87,175.98,jute
16.01,21.1,40.55,22.71,87.17,6.74,98.65,pomegranate
32.58,142.58,202.46,32.58,83.54,6.11,69.7,grapes
27.86,44.22,17.31,29.91,39.63,5.06,41.24,mothbeans
61.66,43.93,35.74,23.17,75.97,6.29,163.29,jute
96.51,43.02,18.97,26.34,59.48,6.35,92.1,maize
34.05,21.79,38.61,26.53,96.4,6.29,147.4,coconut
101.98,39.93,23.71,22.68,56.29,5.81,99.52,maize
28.41,58.31,83.71,17.56,18.0,7.21,71.55,chickpea
81.72,76.41,46.02,25.32,79.94,6.42,95.64,banana
69.48,38.54,39.38,25.93,87.5,5.52,197.39,rice
21.0,28.93,28.65,26.63,95.11,6.63,190.25,coconut
75.03,35.2,41.22,26.06,82.94,6.35,175.17,jute
25.11,35.38,31.13,28.52,53.19,5.48,93.27,mango
115.84,25.02,51.43,27.91,89.87,6.24,28.11,muskmelon
29.59,137.29,196.63,20.76,95.85,5.9,103.75,apple
114.58,84.41,54.13,29.15,75.39,6.24,115.02,banana
40.34,62.6,16.8,27.4,47.06,5.13,198.19,pigeonpeas
37.6,63.58,16.29,27.61,68.51,7.49,59.51,blackgram
20.94,18.5,7.87,29.39,91.89,6.74,117.23,orange
38.79,75.82,74.7,21.0,13.71,8.78,70.61,chickpea
86.45,31.43,54.8,26.43,87.08,6.44,60.86,watermelon
104.23,90.82,45.2,29.88,76.25,5.77,116.38,banana
30.83,118.47,200.06,22.88,92.34,5.87,106.4,apple
51.84,70.71,78.0,20.35,14.18,8.14,70.53,chickpea
101.33,33.95,26.8,22.67,57.54,6.69,169.66,coffee
25.61,62.06,20.89,34.08,37.31,5.03,128.12,pigeonpeas
20.58,24.71,14.54,21.27,91.56,7.19,99.33,orange
20.63,143.05,199.11,22.99,93.31,6.52,122.51,apple
28.29,14.49,34.7,25.26,96.52,5.67,203.98,coconut
28.62,56.34,52.63,39.41,92.03,6.77,134.04,papaya
116.51,29.49,48.5,27.16,81.17,6.4,51.51,watermelon
26.38,61.33,12.5,30.18,56.09,6.97,72.43,mothbeans
36.43,61.12,45.91,37.19,94.87,6.67,59.31,papaya
30.94,71.15,74.14,20.83,16.04,7.95,63.85,chickpea
30.58,20.12,34.25,18.84,90.85,6.07,107.49,pomegranate
55.62,77.02,77.33,19.86,14.75,5.81,68.85,chickpea
68.1,45.99,52.53,26.49,92.63,6.95,182.74,papaya
19.33,64.12,18.36,18.09,68.02,6.27,52.26,lentil
16.7,137.25,206.9,22.58,91.13,5.86,99.14,apple
17.03,17.08,38.67,22.83,89.72,6.16,115.64,pomegranate
24.85,57.06,73.27,17.49,13.86,8.17,78.17,chickpea
21.88,23.54,30.65,33.16,47.51,4.92,83.51,mango
57.96,65.92,77.06,20.84,15.47,7.46,84.45,chickpea
15.25,20.07,39.11,20.11,91.71,5.46,96.01,pomegranate
101.68,29.81,50.69,25.13,83.86,7.19,48.87,watermelon
29.09,61.3,24.81,21.56,21.45,5.35,92.09,kidneybeans
11.08,54.3,16.12,27.2,90.06,6.87,52.46,mungbean
108.7,16.16,51.79,29.1,90.68,5.98,22.3,muskmelon
107.56,19.0,52.22,26.57,82.31,6.49,60.64,watermelon
38.17,79.81,24.04,21.54,22.15,5.53,138.6,kidneybeans
113.57,19.77,56.6,30.51,89.74,6.17,20.58,muskmelon
30.83,25.02,24.27,36.16,52.03,5.34,103.97,mango
84.63,52.77,35.46,27.38,82.25,5.93,224.71,rice
47.59,55.45,21.05,28.64,62.22,7.17,66.74,blackgram
30.48,66.32,80.96,17.25,13.51,8.58,94.37,chickpea
112.28,79.87,48.72,26.65,81.26,6.0,113.36,banana
43.37,58.1,19.07,25.35,68.36,7.83,73.57,blackgram
9.82,71.77,20.6,20.23,44.5,6.2,164.26,pigeonpeas
44.2,51.21,53.59,42.12,94.57,6.56,207.73,papaya
35.18,60.1,26.24,21.48,46.71,5.73,156.45,pigeonpeas
23.42,42.49,13.24,28.01,81.86,6.47,62.26,mungbean
7.68,15.82,29.25,25.94,95.87,5.87,217.08,coconut
128.41,44.99,20.89,24.01,68.83,7.5,68.31,cotton
23.79,125.71,199.3,37.93,80.34,6.65,70.61,grapes
38.47,130.16,207.93,22.25,94.93,6.1,104.48,apple
18.75,70.6,17.55,28.48,67.37,7.13,35.24,lentil
88.73,82.39,54.09,29.32,80.94,5.81,118.8,banana
69.51,57.97,42.17,24.1,88.66,7.45,199.36,jute
19.57,139.88,202.08,19.76,91.83,5.76,107.33,apple
13.72,17.9,34.34,20.37,91.29,6.56,103.71,pomegranate
12.81,141.7,195.99,24.03,88.96,5.48,110.13,apple
12.14,35.45,22.81,27.4,86.53,6.29,38.89,mungbean
109.26,20.95,54.63,27.72,93.87,6.42,29.79,muskmelon
111.34,22.22,32.73,22.66,63.8,6.41,163.57,coffee
114.37,35.17,26.45,24.23,60.49,7.19,189.48,coffee
37.23,68.74,24.66,29.91,43.77,5.03,120.43,pigeonpeas
85.5,56.82,37.64,23.7,74.61,6.44,172.71,jute
24.06,65.19,21.33,17.81,24.03,5.81,95.85,kidneybeans
107.38,71.66,50.36,24.77,82.9,6.38,94.45,banana
64.96,52.1,18.94,26.9,55.48,5.62,64.43,maize
65.97,40.8,38.09,24.53,73.01,6.03,177.1,jute
78.67,36.79,12.91,23.28,62.21,5.46,101.32,maize
23.24,69.85,21.92,29.29,62.04,7.38,118.44,pigeonpeas
32.67,31.54,35.01,32.06,47.91,6.82,107.24,mango
36.12,56.78,17.07,24.62,17.75,5.24,135.88,kidneybeans
15.49,26.28,36.48,22.12,89.73,6.55,109.66,pomegranate
87.19,14.2,47.93,23.35,83.12,6.7,50.58,watermelon
47.53,63.14,16.92,32.0,59.07,6.66,65.76,blackgram
88.82,55.51,20.42,23.44,63.12,6.94,106.16,maize
88.08,36.46,46.71,21.18,81.24,6.28,201.1,rice
38.85,44.83,17.05,30.59,56.55,4.18,59.99,mothbeans
24.67,75.05,17.05,23.13,17.03,5.61,95.0,kidneybeans
10.23,22.6,28.36,36.71,48.85,4.37,103.07,mango
110.76,56.26,22.3,27.21,84.7,7.82,79.59,cotton
40.62,45.1,46.24,28.98,98.31,6.94,187.63,papaya
32.3,55.77,21.66,25.88,50.57,6.28,66.29,mothbeans
124.32,60.38,17.52,22.59,82.5,6.12,92.46,cotton
32.9,50.31,22.56,26.14,80.68,6.36,51.53,mungbean
29.7,27.29,10.36,18.66,93.48,7.02,108.05,orange
99.92,56.35,47.43,24.6,72.27,6.64,156.08,jute
55.09,71.91,17.57,32.73,63.78,7.8,81.47,blackgram
20.51,37.72,24.39,28.15,87.06,6.35,50.65,mungbean
89.03,27.28,27.4,26.48,57.26,6.55,151.67,coffee
108.68,75.3,49.66,25.79,75.84,5.59,105.21,banana
10.94,65.57,18.87,28.76,37.07,5.77,180.99,pigeonpeas
49.43,59.29,47.88,22.4,96.86,6.86,168.78,papaya
16.59,128.87,198.05,21.83,91.34,6.2,101.6,apple
15.14,22.24,37.07,22.66,85.03,6.44,107.1,pomegranate
99.29,46.1,20.79,20.69,56.96,5.58,63.49,maize
26.29,22.9,33.8,33.36,45.23,4.53,88.34,mango
22.53,11.7,25.22,27.32,97.38,5.62,176.3,coconut
11.29,128.9,200.38,20.75,93.62,5.59,105.49,apple
26.31,61.46,13.95,17.81,61.7,7.52,37.1,lentil
78.37,52.33,42.11,23.2,89.74,7.16,184.91,jute
37.29,56.35,19.02,25.14,45.42,8.41,47.87,mothbeans
21.18,74.42,15.23,29.0,66.34,7.72,50.06,lentil
25.67,18.87,33.05,27.36,98.33,5.85,158.52,coconut
47.5,79.29,23.64,28.05,59.96,7.08,57.62,blackgram
60.74,53.34,43.28,24.86,84.1,7.37,161.47,jute
35.21,39.71,16.41,30.55,85.1,6.89,41.76,mungbean
132.81,51.58,20.12,22.88,67.29,7.07,83.16,cotton
79.17,29.96,54.0,27.64,86.3,6.36,46.14,watermelon
9.97,121.9,199.68,22.19,92.62,5.94,93.56,apple
9.42,123.05,197.97,15.09,83.63,6.15,60.79,grapes
18.14,26.43,29.44,28.25,93.72,6.12,179.32,coconut
17.67,137.35,199.7,11.8,83.39,6.23,66.91,grapes
114.87,30.48,48.1,25.57,84.02,6.83,58.09,watermelon
92.19,37.46,39.05,24.85,82.02,5.93,276.04,rice
33.42,30.52,33.3,33.67,50.31,5.82,90.27,mango
19.63,16.93,29.82,32.65,51.04,5.88,105.59,mango
84.7,32.8,22.89,26.08,51.28,7.38,159.14,coffee
22.28,11.4,40.91,20.96,88.19,6.57,117.9,pomegranate
103.18,91.54,54.64,28.98,82.33,6.29,103.11,banana
17.86,129.34,199.82,15.37,80.17,6.06,69.34,grapes
67.27,54.51,41.28,23.48,81.51,6.38,173.48,jute
15.24,25.06,5.49,28.09,88.93,7.5,110.83,orange
138.32,43.52,18.07,25.47,61.69,5.96,70.61,cotton
25.61,34.5,28.13,33.44,52.34,5.74,92.46,mango
42.24,47.42,41.72,23.71,91.16,7.03,244.2,papaya
100.98,16.21,49.22,28.11,92.3,6.22,23.33,muskmelon
37.38,43.99,18.75,29.94,57.88,6.45,31.78,mothbeans
71.53,46.29,35.79,25.14,84.88,6.0,173.01,jute
21.56,63.8,87.66,17.85,16.01,7.4,76.46,chickpea
25.31,49.87,19.67,26.72,41.03,5.35,70.95,mothbeans
34.44,27.11,42.13,18.79,86.53,5.82,108.49,pomegranate
91.77,17.43,51.9,23.91,82.37,6.73,59.96,watermelon
12.28,48.6,19.43,27.1,52.34,8.28,62.0,mothbeans
127.11,60.7,16.12,23.68,76.13,8.02,97.41,cotton
28.57,68.51,48.91,43.17,90.33,6.78,201.86,papaya
96.99,17.31,55.26,24.63,80.15,6.3,64.0,watermelon
36.24,58.21,17.82,25.05,44.61,4.56,69.29,mothbeans
86.98,51.45,44.2,25.48,82.81,5.79,268.29,rice
24.56,20.74,26.49,25.69,95.09,6.47,178.47,coconut
20.03,41.69,18.41,29.21,55.92,4.12,66.31,mothbeans
37.97,40.97,19.8,30.98,41.92,6.26,26.83,mothbeans
76.9,53.8,15.79,27.32,62.49,6.05,71.36,maize
81.42,45.97,44.46,23.41,81.56,6.51,178.22,rice
85.29,60.63,22.92,27.25,70.04,6.92,90.94,maize
25.9,13.27,27.66,28.48,97.1,6.09,195.22,coconut
